,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
0,Austria,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995",3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,2.083,2.476,2.42,1.585,-6.997,4.51,2019.0
1,Austria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995",248.045,256.697,265.065,272.529,287.52,303.129,323.09,344.136,355.952,345.164,355.601,373.64,383.398,390.224,400.074,408.34,421.161,439.718,461.331,476.812,446.265,475.484,2019.0
2,Austria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995",3.127,0.88,1.151,0.492,2.091,1.55,2.92,3.387,1.139,-3.995,1.599,2.586,0.229,-0.575,-0.125,0.013,0.794,1.606,1.613,0.839,-7.63,3.852,2019.0
3,Austria,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005,1.956,2.302,1.684,1.301,1.963,2.1,1.69,2.199,3.228,0.405,1.694,3.542,2.566,2.12,1.466,0.808,0.972,2.228,2.12,1.49,0.44,1.699,2019.0
4,Austria,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005,1.853,1.819,1.696,1.337,2.512,1.519,1.642,3.456,1.492,1.04,2.183,3.308,2.81,1.856,0.699,0.975,1.544,2.275,1.707,1.801,0.3,1.9,2019.0
5,Austria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,3.883,4.008,4.392,4.792,5.5,5.642,5.233,4.867,4.092,5.333,4.842,4.592,4.917,5.333,5.608,5.742,6.033,5.517,4.883,4.517,5.5,5,2019.0
6,Austria,General government net lending/borrowing,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2019 Fiscal assumptions: Fiscal projections are based on data from Statistics Austria, the authorities? projections, and IMF staff estimates and projections. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Social Security Funds; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;;. Our framework follows the Maastricht debt criteria.",-2.063,-0.658,-1.865,-1.382,-4.839,-2.541,-2.563,-1.382,-1.521,-5.356,-4.453,-2.577,-2.189,-1.95,-2.729,-1.046,-1.574,-0.699,0.198,0.443,-7.095,-1.562,2019.0
7,Austria,Current account balance,Percent of GDP,,"Source: Central Bank Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-0.706,-0.796,2.102,1.548,2.076,2.258,3.295,3.802,4.49,2.596,2.855,1.631,1.483,1.943,2.474,1.725,2.727,1.552,2.329,2.614,1.898,1.979,2019.0
8,Belgium,"Gross domestic product, constant prices",Percent change,,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series.",3.717,1.1,1.707,1.038,3.571,2.322,2.552,3.677,0.447,-2.021,2.864,1.695,0.739,0.459,1.579,2.033,1.511,1.965,1.458,1.365,-6.924,4.564,2019.0
9,Belgium,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series.",295.892,305.707,315.844,325.048,345.719,364.764,385.394,410.3,420.149,414.798,431.65,448.135,460.107,470.329,486.596,501.655,514.508,534.496,555.502,572.902,536.621,572.053,2019.0
10,Belgium,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series.",3.46,0.86,1.25,0.588,3.167,1.837,1.913,2.961,-0.328,-2.806,2.04,0.209,0.055,-0.101,1.189,1.52,0.848,1.6,1.041,0.861,-7.404,4.024,2019.0
11,Belgium,"Inflation, average consumer prices",Percent change,,Source: Central Bank Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,2.679,2.435,1.548,1.517,1.857,2.537,2.328,1.816,4.489,-0.006,2.334,3.353,2.626,1.248,0.49,0.62,1.77,2.224,2.311,1.249,0.253,1.09,2019.0
12,Belgium,"Inflation, end of period consumer prices",Percent change,,Source: Central Bank Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,2.964,1.925,1.333,1.634,2.01,2.759,2.073,3.111,2.699,0.333,3.382,3.185,2.082,1.167,-0.391,1.45,2.204,2.059,2.198,0.922,-0.167,1.423,2019.0
